Город       Профессия                   Зарплата  Востребованность
Москва      Инженер по искусственному интеллекту  120000    Высокая
Санкт-Петербург  Разработчик мобильных приложений   110000    Средняя
Екатеринбург  Специалист по информационной безопасности  90000     Высокая
Новосибирск  Инженер по автоматизации производства  95000     Средняя
Краснодар   Аналитик данных              100000    Высокая
Казань      Системный администратор      85000     Низкая
Уфа         Веб-разработчик              105000    Средняя
Самара      Инженер по машинному обучению  115000    Высокая
Омск        Технический писатель         85000     Низкая
Челябинск   Инженер по качеству ПО       100000    Средняя
Волгоград   Специалист технической поддержки  90000     Низкая
Пермь       Бизнес-аналитик              110000    Высокая
Воронеж     Архитектор информационных систем   105000    Средняя
Ростов-на-Дону  Программист                 95000     Высокая
Тюмень      Сетевой администратор        90000     Низкая
Тольятти    Специалист по тестированию ПО  100000    Средняя
Иркутск     Инженер-конструктор          105000    Средняя
Кемерово    Информационный архитектор    110000    Высокая
Нижний Новгород  Системный аналитик         100000    Средняя
Хабаровск   Разработчик баз данных       95000     Средняя
Томск       Проектировщик сетей          90000     Низкая
Астрахань   Администратор баз данных     100000    Низкая
Барнаул     Frontend-разработчик         105000    Средняя
Белгород    Аналитик безопасности        110000    Высокая
Владивосток Инженер по тестированию ПО   95000     Средняя
Саратов     UX-дизайнер                  100000    Средняя
Ярославль   Системный инженер            90000     Низкая
Иваново     DevOps-инженер               105000    Высокая
Якутск      Инженер-проектировщик        110000    Высокая
Магнитогорск  Специалист по информационным технологиям   95000     Средняя
Киров       Аналитик данных              100000    Средняя
Калининград Backend-разработчик          105000    Средняя
Курск       Системный администратор      90000     Низкая
Стерлитамак Инженер-программист          110000    Высокая
Тверь       Технический писатель         95000     Низкая
Балашиха    Инженер по автоматизации тестирования  100000    Средняя
Мытищи      Data scientist               105000    Высокая
Подольск    Frontend-разработчик         90000     Средняя
Люберцы     Инженер-аналитик             110000    Средняя
Щёлково     Специалист по информационным технологиям   95000     Средняя
