Position,Level,Productivity,Salary
Software Engineer,Junior,5,64550
Software Engineer,Junior,5,67824
Software Engineer,Junior,3,72560
Software Engineer,Junior,10,77372
Software Engineer,Junior,9,61447
Software Engineer,Junior,2,60726
Software Engineer,Junior,1,68942
Software Engineer,Junior,3,73425
Software Engineer,Junior,1,65366
Software Engineer,Junior,1,69264
Software Engineer,Junior,8,74382
Software Engineer,Junior,8,65625
Software Engineer,Junior,5,76806
Software Engineer,Junior,9,68598
Software Engineer,Junior,4,65396
Software Engineer,Junior,10,69331
Software Engineer,Junior,6,76050
Software Engineer,Junior,9,70786
Software Engineer,Junior,4,60557
Software Engineer,Junior,3,78319
Software Engineer,Junior,8,65078
Software Engineer,Junior,8,76170
Software Engineer,Junior,3,78140
Software Engineer,Junior,1,69947
Software Engineer,Junior,3,68787
Software Engineer,Junior,9,72492
Software Engineer,Junior,6,70505
Software Engineer,Junior,4,67255
Software Engineer,Junior,7,66365
Software Engineer,Junior,10,74089
Software Engineer,Junior,7,61595
Software Engineer,Junior,2,74600
Software Engineer,Junior,4,74642
Software Engineer,Junior,7,63325
Software Engineer,Junior,5,61836
Software Engineer,Junior,1,60308
Software Engineer,Junior,10,61231
Software Engineer,Junior,3,62236
Software Engineer,Junior,4,77923
Software Engineer,Junior,1,76911
Software Engineer,Junior,6,66517
Software Engineer,Junior,6,76891
Software Engineer,Junior,8,76599
Software Engineer,Junior,1,75526
Software Engineer,Junior,9,63644
Software Engineer,Junior,7,67871
Software Engineer,Junior,1,60530
Software Engineer,Junior,8,74795
Software Engineer,Junior,8,78419
Software Engineer,Junior,6,61744
Software Engineer,Mid-level,6,103014
Software Engineer,Mid-level,3,116294
Software Engineer,Mid-level,1,90932
Software Engineer,Mid-level,4,92197
Software Engineer,Mid-level,8,91440
Software Engineer,Mid-level,6,86292
Software Engineer,Mid-level,2,90252
Software Engineer,Mid-level,3,90043
Software Engineer,Mid-level,3,97175
Software Engineer,Mid-level,5,108174
Software Engineer,Mid-level,4,118164
Software Engineer,Mid-level,3,106997
Software Engineer,Mid-level,4,97852
Software Engineer,Mid-level,1,98548
Software Engineer,Mid-level,6,106642
Software Engineer,Mid-level,7,110978
Software Engineer,Mid-level,5,102196
Software Engineer,Mid-level,4,87260
Software Engineer,Mid-level,2,118144
Software Engineer,Mid-level,2,101200
Software Engineer,Mid-level,2,81437
Software Engineer,Mid-level,1,84013
Software Engineer,Mid-level,4,117953
Software Engineer,Mid-level,7,87464
Software Engineer,Mid-level,3,119063
Software Engineer,Mid-level,6,116278
Software Engineer,Mid-level,1,80186
Software Engineer,Mid-level,7,98548
Software Engineer,Mid-level,4,95616
Software Engineer,Mid-level,6,86927
Software Engineer,Mid-level,9,90176
Software Engineer,Mid-level,1,82124
Software Engineer,Mid-level,5,83138
Software Engineer,Mid-level,9,111097
Software Engineer,Mid-level,8,109432
Software Engineer,Mid-level,3,96162
Software Engineer,Mid-level,3,119768
Software Engineer,Mid-level,9,86861
Software Engineer,Mid-level,3,84113
Software Engineer,Mid-level,4,83558
Software Engineer,Mid-level,2,95205
Software Engineer,Mid-level,8,85834
Software Engineer,Mid-level,1,82431
Software Engineer,Mid-level,7,94412
Software Engineer,Mid-level,2,94134
Software Engineer,Mid-level,5,86931
Software Engineer,Mid-level,9,119769
Software Engineer,Mid-level,3,114720
Software Engineer,Mid-level,1,106267
Software Engineer,Mid-level,7,112958
Software Engineer,Senior,4,158705
Software Engineer,Senior,3,164792
Software Engineer,Senior,10,150552
Software Engineer,Senior,10,151407
Software Engineer,Senior,8,154240
Software Engineer,Senior,4,152480
Software Engineer,Senior,8,148938
Software Engineer,Senior,3,157306
Software Engineer,Senior,2,168864
Software Engineer,Senior,9,130460
Software Engineer,Senior,7,172536
Software Engineer,Senior,1,161638
Software Engineer,Senior,3,132101
Software Engineer,Senior,1,146215
Software Engineer,Senior,7,148133
Software Engineer,Senior,1,129504
Software Engineer,Senior,2,154323
Software Engineer,Senior,3,132167
Software Engineer,Senior,8,160108
